№,Название,Авторы,Журнал,Выпуск,Дата публикации,Ссылка
1139,Feminist Philosophies ofScience,Lisa L. Stenmark,N/A,N/A,First published:19 March 2012,https://onlinelibrary.wiley.com/doi/10.1002/9781118241455.ch8
1140,Non-experts’ participation in processes of scientific knowledge creation: The case of CitizenScience,Paolo Giardullo,Sociology Compass,"Volume 17, Issue 9",First published:04 May 2023,https://onlinelibrary.wiley.com/doi/10.1111/soc4.13100
1141,Science,"Robert John Russell, Kirk Wegter-McNelly",N/A,N/A,First published:01 January 2004,https://onlinelibrary.wiley.com/doi/10.1002/9780470996768.ch32
1142,Locating and understanding the largest gender differences in pathways tosciencedegrees,"Eben B. Witherspoon, Christian D. Schunn",ScienceEducation,"Volume 104, Issue 2",First published:28 November 2019,https://onlinelibrary.wiley.com/doi/10.1002/sce.21557
1143,What Should CognitiveScienceLook Like? Neither a Tree Nor Physics,Christian D. Schunn,Topics in CognitiveScience,"Volume 11, Issue 4",First published:08 October 2019,https://onlinelibrary.wiley.com/doi/10.1111/tops.12467
1144,Overview of undergraduate degree programs related to human development and familyscience,"Kathleen Dyer, Sara Black, Gwyneth Quitorio, Emma Linneman, Maichong Vang",Family Relations,"Volume 73, Issue 1",First published:29 September 2023,https://onlinelibrary.wiley.com/doi/10.1111/fare.12946
1145,Prospectivescienceteachers' noticing: An exploration in an authentic practical context,"Lu Wang, J. Steve Oliver",SchoolScienceand Mathematics,"Volume 123, Issue 7",First published:25 October 2023,https://onlinelibrary.wiley.com/doi/10.1111/ssm.12616
1146,Reliability in designscienceresearch,"Veda C. Storey, Richard L. Baskerville, Mala Kaul",Information Systems Journal,"Volume 35, Issue 3",First published:06 November 2024,https://onlinelibrary.wiley.com/doi/10.1111/isj.12564
1147,Teaching health justice and reimagining narratives of place through community-drivensciencepractices,Tammie Visintainer,Journal of Research inScienceTeaching,"Volume 60, Issue 8",First published:10 March 2023,https://onlinelibrary.wiley.com/doi/10.1002/tea.21857
1148,Can medical schools teach high school students to bescientists?,"James T. Rosenbaum, Tammy M. Martin, Kendra H. Farris, Richard B. Rosenbaum, Edward A. Neuwelt",The FASEB Journal,"Volume 21, Issue 9",First published:09 March 2007,https://onlinelibrary.wiley.com/doi/10.1096/fj.06-7845lsf
1149,On formally integratingscienceand policy: walking the walk,"James D. Nichols, Fred A. Johnson, Byron K. Williams, G. Scott Boomer",Journal of Applied Ecology,"Volume 52, Issue 3",First published:10 February 2015,https://onlinelibrary.wiley.com/doi/10.1111/1365-2664.12406
1150,Multidimensional Noticing for TeachingScience-as-Practice,"Miray Tekkumru-Kisa, Jennifer Richards",Journal of Research inScienceTeaching,Early View,First published:16 April 2025,https://onlinelibrary.wiley.com/doi/10.1002/tea.70008
1151,The Business Side of DataScience,,N/A,N/A,First published:11 December 2020,https://onlinelibrary.wiley.com/doi/10.1002/9781119544180.ch2
1152,Putting theScienceinto Practice: Public Health Implications,Thomas A. B. Sanders,N/A,N/A,First published:17 May 2013,https://onlinelibrary.wiley.com/doi/10.1002/9781118782972.ch15
1153,SCIENCEWILL UNCOVER THE MYSTERIES OF ADDICTION IN THE END,"DOUG SELLMAN, SIMON ADAMSON, FRASER TODD, DARYLE DEERING",Addiction,"Volume 105, Issue 1",First published:14 December 2009,https://onlinelibrary.wiley.com/doi/10.1111/j.1360-0443.2009.02867.x
1154,The Globus Galaxies platform: deliveringsciencegateways as a service,"Ravi Madduri, Kyle Chard, Ryan Chard, Lukasz Lacinski, Alex Rodriguez, Dinanath Sulakhe, David Kelly, Utpal Dave, Ian Foster",Concurrency and Computation: Practice and Experience,"Volume 27, Issue 16",First published:29 April 2015,https://onlinelibrary.wiley.com/doi/10.1002/cpe.3486
1155,"Genetics, Race, and the Practice ofScience, Part One","Julia Feder, Jonathan Marks",Anthropology News,"Volume 57, Issue 12",First published:18 May 2017,https://onlinelibrary.wiley.com/doi/10.1111/AN.252
1156,ForensicScienceEducation - The Past and the Present In and Out of the Classroom,"John P. Cassella, Peter D. Maskell, Anna Williams",N/A,N/A,First published:07 April 2017,https://onlinelibrary.wiley.com/doi/10.1002/9781118689196.ch1
1157,Scienceand Health with Key to the Scriptures (1875),Mary Baker Eddy,N/A,N/A,First published:01 January 2002,https://onlinelibrary.wiley.com/doi/10.1002/9780470693551.ch24
1158,Aligning citizensciencewith best practice: Threatened species conservation in Australia,"Rochelle Steven, Megan Barnes, Stephen T. Garnett, Georgia Garrard, James O'Connor, Jessica L. Oliver, Cathy Robinson, Ayesha Tulloch, Richard A. Fuller",ConservationScienceand Practice,"Volume 1, Issue 10",First published:14 August 2019,https://onlinelibrary.wiley.com/doi/10.1111/csp2.100
1159,Feminist Philosophies ofScience,Lisa L. Stenmark,N/A,N/A,First published:19 March 2012,https://onlinelibrary.wiley.com/doi/10.1002/9781118241455.ch8
1160,Non-experts’ participation in processes of scientific knowledge creation: The case of CitizenScience,Paolo Giardullo,Sociology Compass,"Volume 17, Issue 9",First published:04 May 2023,https://onlinelibrary.wiley.com/doi/10.1111/soc4.13100
1161,"Dangerous Holes in Global Environmental Governance: The Roles of Neoliberal Discourse,Science, and California Agriculture in the Montreal Protocol",Brian J. Gareau,Antipode,"Volume 40, Issue 1",First published:14 February 2008,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-8330.2008.00572.x
1162,The DataScienceRoad Map,,N/A,N/A,First published:27 January 2017,https://onlinelibrary.wiley.com/doi/10.1002/9781119092919.ch2
1163,A CONTEMPORARY PHILOSOPHICAL ENCOUNTER WITH FREUD'SSCIENCE,RALPH H. BEAUMONT,The Psychoanalytic Quarterly,"Volume LXXXI, Issue 2",First published:20 December 2012,https://onlinelibrary.wiley.com/doi/10.1002/j.2167-4086.2012.tb00503.x
1164,CommunityScience: Bridging the Gap betweenScienceand Practice with Community-Centered Models,Abraham Wandersman,American Journal of Community Psychology,"Volume 31, Issue 3-4",First published:01 June 2003,https://onlinelibrary.wiley.com/doi/10.1023/A%3A1023954503247
1165,TheScienceDMZ: A Network Design Pattern for Data-IntensiveScience,"Eli Dart, Lauren Rotman, Brian Tierney, Mary Hester, Jason Zurawski",Scientific Programming,"Volume 22, Issue 2",First published:01 January 2014,https://onlinelibrary.wiley.com/doi/10.3233/SPR-140382
1166,A jury ofscientists: Formal education in biobehavioralsciencesreduces the odds of punitive criminal sentencing,"Mia A. Thomaidou, Colleen M. Berryessa",BehavioralSciences& the Law,"Volume 40, Issue 6",First published:17 August 2022,https://onlinelibrary.wiley.com/doi/10.1002/bsl.2588
1167,Working Pasteur's Quadrant: HarnessingScienceand Action for Community Change,"Richard H. Price, Teresa Behrens",American Journal of Community Psychology,"Volume 31, Issue 3-4",First published:01 June 2003,https://onlinelibrary.wiley.com/doi/10.1023/A%3A1023950402338
1168,Leavingscience—attrition of biologists in 38 OECD countries,"Marek Kwiek, Lukasz Szymula",FEBS Letters,"Volume 599, Issue 6",First published:08 March 2025,https://onlinelibrary.wiley.com/doi/10.1002/1873-3468.70028
1169,Does social media improve communication? Evaluating the NIOSHscienceblog,"Virginia Sublet PhD, Christina Spring MA, John Howard MD, National Institute for Occupational Safety and Health",American Journal of Industrial Medicine,"Volume 54, Issue 5",First published:18 January 2011,https://onlinelibrary.wiley.com/doi/10.1002/ajim.20921
1170,ServiceScience,"Ananth Srinivasan, Christoph F. Breidbach, Darl G. Kolb",N/A,N/A,First published:21 January 2015,https://onlinelibrary.wiley.com/doi/10.1002/9781118785317.weom070223
1171,Science-Festival,,Chemie in unserer Zeit,"Volume 44, Issue 6",First published:02 December 2010,https://onlinelibrary.wiley.com/doi/10.1002/ciuz.201090088
1172,K-12ScienceEducation as the Road to Consilient Curricula,Leon M. Lederman,Annals of the New York Academy ofSciences,"Volume 935, Issue 1",First published:25 January 2006,https://onlinelibrary.wiley.com/doi/10.1111/j.1749-6632.2001.tb03486.x
1173,Sciencefor our children: Othermothering leadership within an elementarysciencenetwork,"Stefanie L. Marshall, Jessica Forrester, Jenny Tilsen",Journal of Research inScienceTeaching,"Volume 61, Issue 3",First published:29 January 2024,https://onlinelibrary.wiley.com/doi/10.1002/tea.21927
1174,Innovative MaterialsSciencevia Machine Learning,"Chaochao Gao, Xin Min, Minghao Fang, Tianyi Tao, Xiaohong Zheng, Yangai Liu, Xiaowen Wu, Zhaohui Huang",Advanced Functional Materials,"Volume 32, Issue 1",First published:04 October 2021,https://onlinelibrary.wiley.com/doi/10.1002/adfm.202108044
1175,Sciencestudent role: Evidence of social structural norms specific to schoolscience,"Marie-Claire Shanahan, Martina Nieswandt",Journal of Research inScienceTeaching,"Volume 48, Issue 4",First published:30 December 2010,https://onlinelibrary.wiley.com/doi/10.1002/tea.20406
1176,A DEFENSE OFSCIENCEANDRELIGION: REFLECTIONS ON PETER HARRISON'S “AFTERSCIENCEAND RELIGION” PROJECT,Josh A. Reeves,Zygon®,"Volume 58, Issue 1",First published:21 December 2022,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12861
1177,CognitiveSciencein a Nutshell,"Can S. Mekik, Carl Michael Galang",CognitiveScience,"Volume 46, Issue 8",First published:08 August 2022,https://onlinelibrary.wiley.com/doi/10.1111/cogs.13179
1178,Assessing equity beyond knowledge- andskills-based outcomes: A comparative ethnography of two fourth-grade reform-basedscienceclassrooms,"Heidi B. Carlone, Julie Haun-Frank, Angela Webb",Journal of Research inScienceTeaching,"Volume 48, Issue 5",First published:25 February 2011,https://onlinelibrary.wiley.com/doi/10.1002/tea.20413
1179,Explanation in computational socialscience,,N/A,N/A,First published:24 July 2015,https://onlinelibrary.wiley.com/doi/10.1002/9781119106173.ch2
1180,Multiway methods in foodscience,"Åsmund Rinnan, José Manuel Amigo, Thomas Skov",N/A,N/A,First published:27 December 2013,https://onlinelibrary.wiley.com/doi/10.1002/9781118434635.ch9
1181,"Dangerous Holes in Global Environmental Governance: The Roles of Neoliberal Discourse,Science, and California Agriculture in the Montreal Protocol",Brian J. Gareau,Antipode,"Volume 40, Issue 1",First published:14 February 2008,https://onlinelibrary.wiley.com/doi/10.1111/j.1467-8330.2008.00572.x
1182,The DataScienceRoad Map,,N/A,N/A,First published:27 January 2017,https://onlinelibrary.wiley.com/doi/10.1002/9781119092919.ch2
1183,A CONTEMPORARY PHILOSOPHICAL ENCOUNTER WITH FREUD'SSCIENCE,RALPH H. BEAUMONT,The Psychoanalytic Quarterly,"Volume LXXXI, Issue 2",First published:20 December 2012,https://onlinelibrary.wiley.com/doi/10.1002/j.2167-4086.2012.tb00503.x
1184,CommunityScience: Bridging the Gap betweenScienceand Practice with Community-Centered Models,Abraham Wandersman,American Journal of Community Psychology,"Volume 31, Issue 3-4",First published:01 June 2003,https://onlinelibrary.wiley.com/doi/10.1023/A%3A1023954503247
1185,TheScienceDMZ: A Network Design Pattern for Data-IntensiveScience,"Eli Dart, Lauren Rotman, Brian Tierney, Mary Hester, Jason Zurawski",Scientific Programming,"Volume 22, Issue 2",First published:01 January 2014,https://onlinelibrary.wiley.com/doi/10.3233/SPR-140382
1186,A jury ofscientists: Formal education in biobehavioralsciencesreduces the odds of punitive criminal sentencing,"Mia A. Thomaidou, Colleen M. Berryessa",BehavioralSciences& the Law,"Volume 40, Issue 6",First published:17 August 2022,https://onlinelibrary.wiley.com/doi/10.1002/bsl.2588
1187,Working Pasteur's Quadrant: HarnessingScienceand Action for Community Change,"Richard H. Price, Teresa Behrens",American Journal of Community Psychology,"Volume 31, Issue 3-4",First published:01 June 2003,https://onlinelibrary.wiley.com/doi/10.1023/A%3A1023950402338
1188,Leavingscience—attrition of biologists in 38 OECD countries,"Marek Kwiek, Lukasz Szymula",FEBS Letters,"Volume 599, Issue 6",First published:08 March 2025,https://onlinelibrary.wiley.com/doi/10.1002/1873-3468.70028
1189,Does social media improve communication? Evaluating the NIOSHscienceblog,"Virginia Sublet PhD, Christina Spring MA, John Howard MD, National Institute for Occupational Safety and Health",American Journal of Industrial Medicine,"Volume 54, Issue 5",First published:18 January 2011,https://onlinelibrary.wiley.com/doi/10.1002/ajim.20921
1190,ServiceScience,"Ananth Srinivasan, Christoph F. Breidbach, Darl G. Kolb",N/A,N/A,First published:21 January 2015,https://onlinelibrary.wiley.com/doi/10.1002/9781118785317.weom070223
1191,Science-Festival,,Chemie in unserer Zeit,"Volume 44, Issue 6",First published:02 December 2010,https://onlinelibrary.wiley.com/doi/10.1002/ciuz.201090088
1192,K-12ScienceEducation as the Road to Consilient Curricula,Leon M. Lederman,Annals of the New York Academy ofSciences,"Volume 935, Issue 1",First published:25 January 2006,https://onlinelibrary.wiley.com/doi/10.1111/j.1749-6632.2001.tb03486.x
1193,Sciencefor our children: Othermothering leadership within an elementarysciencenetwork,"Stefanie L. Marshall, Jessica Forrester, Jenny Tilsen",Journal of Research inScienceTeaching,"Volume 61, Issue 3",First published:29 January 2024,https://onlinelibrary.wiley.com/doi/10.1002/tea.21927
1194,Innovative MaterialsSciencevia Machine Learning,"Chaochao Gao, Xin Min, Minghao Fang, Tianyi Tao, Xiaohong Zheng, Yangai Liu, Xiaowen Wu, Zhaohui Huang",Advanced Functional Materials,"Volume 32, Issue 1",First published:04 October 2021,https://onlinelibrary.wiley.com/doi/10.1002/adfm.202108044
1195,Sciencestudent role: Evidence of social structural norms specific to schoolscience,"Marie-Claire Shanahan, Martina Nieswandt",Journal of Research inScienceTeaching,"Volume 48, Issue 4",First published:30 December 2010,https://onlinelibrary.wiley.com/doi/10.1002/tea.20406
1196,A DEFENSE OFSCIENCEANDRELIGION: REFLECTIONS ON PETER HARRISON'S “AFTERSCIENCEAND RELIGION” PROJECT,Josh A. Reeves,Zygon®,"Volume 58, Issue 1",First published:21 December 2022,https://onlinelibrary.wiley.com/doi/10.1111/zygo.12861
1197,CognitiveSciencein a Nutshell,"Can S. Mekik, Carl Michael Galang",CognitiveScience,"Volume 46, Issue 8",First published:08 August 2022,https://onlinelibrary.wiley.com/doi/10.1111/cogs.13179
1198,Assessing equity beyond knowledge- andskills-based outcomes: A comparative ethnography of two fourth-grade reform-basedscienceclassrooms,"Heidi B. Carlone, Julie Haun-Frank, Angela Webb",Journal of Research inScienceTeaching,"Volume 48, Issue 5",First published:25 February 2011,https://onlinelibrary.wiley.com/doi/10.1002/tea.20413
1199,Explanation in computational socialscience,,N/A,N/A,First published:24 July 2015,https://onlinelibrary.wiley.com/doi/10.1002/9781119106173.ch2
1200,Multiway methods in foodscience,"Åsmund Rinnan, José Manuel Amigo, Thomas Skov",N/A,N/A,First published:27 December 2013,https://onlinelibrary.wiley.com/doi/10.1002/9781118434635.ch9
1201,What's Next inScienceEducation?,,N/A,N/A,First published:01 March 2010,https://onlinelibrary.wiley.com/doi/10.2134/2010.practicalperspectives.c15
1202,"AggregateScience: from Molecules, beyond Molecules","Fulong Ma, Siwei Zhang, Jinhui Jiang, Yong Liu, Jianwei Sun, Jacky Wing Yip Lam, Zheng Zhao, Ben Zhong Tang",Advanced Materials,"Volume 37, Issue 4",First published:21 November 2024,https://onlinelibrary.wiley.com/doi/10.1002/adma.202414188
1203,Teachingscienceto students with developmental disabilities using the EarlySciencecurriculum,"Magdalena M. Apanasionok, Julie Neil, Richard C. Watkins, Corinna F. Grindle, Richard P. Hastings",Support for Learning,"Volume 35, Issue 4",First published:06 October 2020,https://onlinelibrary.wiley.com/doi/10.1111/1467-9604.12329
1204,Japanese contributions to regionalscience,"Ho Yeon Kim, Philip McCann",Papers in RegionalScience,"Volume 99, Issue 2",First published:26 February 2020,https://onlinelibrary.wiley.com/doi/10.1111/pirs.12522
1205,Data Management Dimensions of Social WaterScience: The iUTAH Experience,"Courtney G. Flint, Amber Spackman Jones, Jeffery S. Horsburgh",JAWRA Journal of the American Water Resources Association,"Volume 53, Issue 5",First published:01 September 2017,https://onlinelibrary.wiley.com/doi/10.1111/1752-1688.12568
1206,Translating BehavioralScienceinto Practice: A Framework to DetermineScienceQuality and Applicability for Police Organizations,"Kimberley A. McClure Ph.D., Katherine L. McGuire Ph.D., Denis M. Chapan M.S.",Journal of ForensicSciences,"Volume 64, Issue 1",First published:07 May 2018,https://onlinelibrary.wiley.com/doi/10.1111/1556-4029.13811
1207,Globalization andscienceeducation: The implications ofsciencein the new economy,Lyn Carter,Journal of Research inScienceTeaching,"Volume 45, Issue 5",First published:23 April 2008,https://onlinelibrary.wiley.com/doi/10.1002/tea.20189
1208,Contextual BehavioralScience,Kelly G. Wilson,N/A,N/A,First published:13 November 2015,https://onlinelibrary.wiley.com/doi/10.1002/9781118489857.ch5
1209,Philosophy ofScience,William H. Krieger,N/A,N/A,First published:05 December 2018,https://onlinelibrary.wiley.com/doi/10.1002/9781119188230.saseas0450
1210,Searching for Community in CommunityScience,Julia K. Parrish,CommunityScience,"Volume 1, Issue 3",First published:14 December 2022,https://onlinelibrary.wiley.com/doi/10.1029/2022CSJ000026
1211,Decolonising thesciencecurriculum in England: Bringing decolonialscienceand technology studies to secondary education,Haira Emanuela Gandolfi,The Curriculum Journal,"Volume 32, Issue 3",First published:24 January 2021,https://onlinelibrary.wiley.com/doi/10.1002/curj.97
1212,Uncovering young children's motivational beliefs about learningscience,"Elisa Oppermann, Martin Brunner, Jacquelynne S. Eccles, Yvonne Anders",Journal of Research inScienceTeaching,"Volume 55, Issue 3",First published:07 November 2017,https://onlinelibrary.wiley.com/doi/10.1002/tea.21424
1213,How to Relate Christian Faith andScience,Mikael Stenmark,N/A,N/A,First published:19 March 2012,https://onlinelibrary.wiley.com/doi/10.1002/9781118241455.ch6
1214,Combinatorial MaterialsScience: Measures of Success,"Michael J. Fasolka, Eric J. Amis",N/A,N/A,First published:20 November 2006,https://onlinelibrary.wiley.com/doi/10.1002/9780470140475.ch1
1215,"Sciencecapital or STEM capital? Exploring relationships betweensciencecapital and technology, engineering, and maths aspirations and attitudes among young people aged 17/18","Julie Moote, Louise Archer, Jennifer DeWitt, Emily MacLeod",Journal of Research inScienceTeaching,"Volume 57, Issue 8",First published:09 March 2020,https://onlinelibrary.wiley.com/doi/10.1002/tea.21628
1216,"California's Proposition 2:Science, Ethics, and the Boundaries of Authority in Agriculture",David Lulka,"Culture, Agriculture, Food and Environment","Volume 33, Issue 1",First published:08 June 2011,https://onlinelibrary.wiley.com/doi/10.1111/j.2153-9561.2011.01045.x
1217,"Genetics, Race, and the Practice ofScience, Part Two","Julia Feder, Jonathan Marks",Anthropology News,"Volume 57, Issue 12",First published:18 May 2017,https://onlinelibrary.wiley.com/doi/10.1111/AN.253
1218,A Brief Introduction and Importance of DataScience,"N. Karthika, J. Sheela, B. Janet",N/A,N/A,First published:15 September 2022,https://onlinelibrary.wiley.com/doi/10.1002/9781119865339.ch1
1219,Changes in participants' scientific attitudes and epistemological beliefs during an astronomical citizenscienceproject,"C. Aaron Price, Hee-Sun Lee",Journal of Research inScienceTeaching,"Volume 50, Issue 7",First published:11 June 2013,https://onlinelibrary.wiley.com/doi/10.1002/tea.21090
1220,CitizenScience,Debalina Dutta,N/A,N/A,First published:10 November 2022,https://onlinelibrary.wiley.com/doi/10.1002/9781119678816.iehc0860
1221,Children's Oncology Group's 2013 blueprint for research: Behavioralscience,"Robert B. Noll PhD, Sunita K. Patel, Leanne Embry PhD, Kristina K. Hardy PhD, Wendy Pelletier, Robert D. Annett PhD, Andrea Patenaude PhD, E. Anne Lown DrPh, Stephen A. Sands PhD, Lamia P. Barakat PhD, On behalf of the COG Behavioral Sciences Committee",Pediatric Blood & Cancer,"Volume 60, Issue 6",First published:19 December 2012,https://onlinelibrary.wiley.com/doi/10.1002/pbc.24421
1222,Shapeshifting attachment: Exploring multi-dimensional people–place bonds in place-based citizenscience,"Benjamin K. Haywood, Julia K. Parrish, Yurong He",People and Nature,"Volume 3, Issue 1",First published:21 December 2020,https://onlinelibrary.wiley.com/doi/10.1002/pan3.10174
1223,The potential of citizenscienceto transformscience: Lessons for a sustainable future,"K. Austen, A. Janssen, J. M. Wittmayer, F. Hölker",People and Nature,"Volume 6, Issue 2",First published:25 February 2024,https://onlinelibrary.wiley.com/doi/10.1002/pan3.10614
1224,The Solvay Conferences and the International Cooperation inScience,Jacques Solvay,N/A,N/A,First published:01 January 1994,https://onlinelibrary.wiley.com/doi/10.1002/9780470142790.ch1
1225,A Study of the Role of ResearchScientistsin K–12ScienceEducation,,N/A,N/A,First published:01 March 2010,https://onlinelibrary.wiley.com/doi/10.2134/2010.practicalperspectives.c11
1226,TheScienceof Living and the Art of Dying,Estela V. Welldon,British Journal of Psychotherapy,"Volume 37, Issue 1",First published:22 January 2021,https://onlinelibrary.wiley.com/doi/10.1111/bjp.12620
1227,Towards a strategy for Critical Zonesciencein Canada,"Yvonne E. Martin, E. A. Johnson",The Canadian Geographer / Le Géographe canadien,"Volume 61, Issue 1",First published:20 February 2017,https://onlinelibrary.wiley.com/doi/10.1111/cag.12358
1228,Translational FamilyScienceand Forgiveness: A Healthy Symbiotic Relationship?,Frank D. Fincham,Family Relations,"Volume 66, Issue 4",First published:24 November 2017,https://onlinelibrary.wiley.com/doi/10.1111/fare.12277
1229,On pedagogy of a SoilScienceCentre for Doctoral Training,"Philip M. Haygarth, Olivia Lawrenson, Malika Mezeli, Emma J. Sayer, Christopher S. McCloskey, Daniel L. Evans, Guy J. D. Kirk, Andrew M. Tye, David R. Chadwick, Steve P. McGrath, Sacha J. Mooney, Eric Paterson, David A. Robinson, Davey L. Jones",European Journal of SoilScience,"Volume 72, Issue 6",First published:13 October 2021,https://onlinelibrary.wiley.com/doi/10.1111/ejss.13184
1230,The (dis)unity of nursingscience,Robyn L. Bluhm PhD,Nursing Philosophy,"Volume 15, Issue 4",First published:23 May 2014,https://onlinelibrary.wiley.com/doi/10.1111/nup.12062
1231,"Objectivity, subjectivity, and emotion in schoolscienceinquiry","James P. Davis, Alberto Bellocchi",Journal of Research inScienceTeaching,"Volume 55, Issue 10",First published:23 April 2018,https://onlinelibrary.wiley.com/doi/10.1002/tea.21461
1232,Prozessanalyse LifeScience– Eine neue Methode für die Prozessoptimierung,"A. Schluck Dr., A. Jupke Dr., H.-J. Leimkuehler Dr.",Chemie Ingenieur Technik,"Volume 82, Issue 9",First published:27 August 2010,https://onlinelibrary.wiley.com/doi/10.1002/cite.201050722
1233,"Earth and SpaceScienceInformatics Perspectives on Integrated, Coordinated, Open, Networked (ICON)Science","D. J. Hills, J. E. Damerow, B. Ahmmed, N. Catolico, S. Chakraborty, C. M. Coward, R. Crystal-Ornelas, W. D. Duncan, L. N. Goparaju, C. Lin, Z. Liu, M. K. Mudunuru, Y. Rao, R. J. Rovetto, Z. Sun, B. P. Whitehead, L. Wyborn, T. Yao",Earth and SpaceScience,"Volume 9, Issue 4",First published:25 February 2022,https://onlinelibrary.wiley.com/doi/10.1029/2021EA002108
1234,Examining the nexus ofsciencecommunication andscienceeducation: A content analysis of genetics news articles,Nicole A. Shea,Journal of Research inScienceTeaching,"Volume 52, Issue 3",First published:24 January 2015,https://onlinelibrary.wiley.com/doi/10.1002/tea.21193
1235,History of the Movement to Integrate SocialScienceInto AtmosphericScience,,N/A,N/A,First published:15 December 2017,https://onlinelibrary.wiley.com/doi/10.1002/9781118525913.ch2
1236,Data-driven glass/ceramicscienceresearch: Insights from the glass and ceramic and datascience/informatics communities,"Eileen De Guire, Laura Bartolo, Ross Brindle, Ram Devanathan, Elizabeth C. Dickey, Justin Fessler, Roger H. French, Ulrich Fotheringham, Martin Harmer, Edgar Lara-Curzio, Sarah Lichtner, Emmanuel Maillet, John Mauro, Mark Mecklenborg, Bryce Meredig, Krishna Rajan, Jeffrey Rickman, Susan Sinnott, Charlie Spahr, Changwon Suh, Adama Tandia, Logan Ward, Rick Weber",Journal of the American Ceramic Society,"Volume 102, Issue 11",First published:11 July 2019,https://onlinelibrary.wiley.com/doi/10.1111/jace.16677
1237,Studying Complexity: Are We Approaching the Limits ofScience?,Ian Boyd,N/A,N/A,First published:25 August 2006,https://onlinelibrary.wiley.com/doi/10.1002/9780470777930.ch2
1238,ScienceCuriosity and Political Information Processing,"Dan M. Kahan, Asheley Landrum, Katie Carpenter, Laura Helft, Kathleen Hall Jamieson",Political Psychology,"Volume 38, Issue S1",First published:26 January 2017,https://onlinelibrary.wiley.com/doi/10.1111/pops.12396
1239,A framework for contextualizing social-ecological biases in contributorysciencedata,"Elizabeth J. Carlen, Cesar O. Estien, Tal Caspi, Deja Perkins, Benjamin R. Goldstein, Samantha E. S. Kreling, Yasmine Hentati, Tyus D. Williams, Lauren A. Stanton, Simone Des Roches, Rebecca F. Johnson, Alison N. Young, Caren B. Cooper, Christopher J. Schell",People and Nature,"Volume 6, Issue 2",First published:03 March 2024,https://onlinelibrary.wiley.com/doi/10.1002/pan3.10592
1240,Philosophy ofScience,Richard DeWitt,N/A,N/A,First published:04 January 2010,https://onlinelibrary.wiley.com/doi/10.1002/9781444315578.ch2
1241,The Concept of FYST: An Association for First-YearScienceTeachers,,N/A,N/A,First published:01 March 2010,https://onlinelibrary.wiley.com/doi/10.2134/2010.practicalperspectives.c13
1242,TheScienceof Soil,,N/A,N/A,First published:01 January 1992,https://onlinelibrary.wiley.com/doi/10.2136/1992.opportunitiesinbasic.c1
1243,Longitudinal analysis of the relations between opportunities to learn aboutscienceand the development of interests related toscience,"Joyce M. Alexander, Kathy E. Johnson, Ken Kelley",ScienceEducation,"Volume 96, Issue 5",First published:28 June 2012,https://onlinelibrary.wiley.com/doi/10.1002/sce.21018
1244,The paradigm of thescienceof management and of the managementsciencedisciplines,John P. van Gigch,Systems Research and BehavioralScience,"Volume 20, Issue 6",First published:13 November 2003,https://onlinelibrary.wiley.com/doi/10.1002/sres.576
1245,Teachers Describe Epistemologies ofScienceInstruction Through Q Methodology,"Caitlin Barnes, Julie Angle, Diane Montgomery",SchoolScienceand Mathematics,"Volume 115, Issue 3",First published:02 March 2015,https://onlinelibrary.wiley.com/doi/10.1111/ssm.12111
1246,"Elementary teachers' verbal supports ofscienceand engineering practices in an NGSS-alignedscience, engineering, and computational thinking unit","Sarah Lilly, Anne M. McAlister, Sarah J. Fick, Jennifer L. Chiu, Kevin W. McElhaney",Journal of Research inScienceTeaching,"Volume 59, Issue 6",First published:07 March 2022,https://onlinelibrary.wiley.com/doi/10.1002/tea.21751
1247,The International Society for OccupationalScience: A Critique of its Role in Facilitating the Development of OccupationalSciencethrough International Networks and Intercultural Dialogue,Alison Wicks PhD,N/A,N/A,First published:03 January 2012,https://onlinelibrary.wiley.com/doi/10.1002/9781118281581.ch12
1248,Becomingsciencelearners: A study of newcomers’ identity work in elementary schoolscience,"Rebeca Gamez, Carolyn A. Parker",ScienceEducation,"Volume 102, Issue 2",First published:21 November 2017,https://onlinelibrary.wiley.com/doi/10.1002/sce.21323
1249,OpenScienceBadges in theJournal of Neurochemistry,"Barbara Schweitzer, Jörg B. Schulz",Journal of Neurochemistry,"Volume 147, Issue 2",First published:01 August 2018,https://onlinelibrary.wiley.com/doi/10.1111/jnc.14536
1250,An examination of the features ofsciencefairs that support students' understandings ofscienceand engineering practices,"Jacqueline DeLisi, Janna F. Kook, Abigail Jurist Levy, Erica Fields, Lukas Winfield",Journal of Research inScienceTeaching,"Volume 58, Issue 4",First published:08 October 2020,https://onlinelibrary.wiley.com/doi/10.1002/tea.21669
1251,Mobile application development exploitingsciencegateway technologies,"Fabio Vitello, Eva Sciacca, Ugo Becciani, Alessandro Costa, Piero Massimino, Éva Takács, Balázs Szakál",Concurrency and Computation: Practice and Experience,"Volume 27, Issue 16",First published:20 May 2015,https://onlinelibrary.wiley.com/doi/10.1002/cpe.3538
1252,Introducing SoilScienceinto the K-12 Curriculum,"Terence H. Cooper, John W. Schultz, Marion K. Barton",N/A,N/A,First published:01 November 1994,https://onlinelibrary.wiley.com/doi/10.2136/sssaspecpub37.c1
